Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Age
157102,Black,Staffordshire Bull Terrier,CHICO,Male,ELIZABETH PARK,5
157103,Black/White,Chihuahua X,CHICA,Female,CRAIGMORE,7
157104,Tan/White,Jack Russell Terrier,TIA,Female,CRAIGMORE,6
157105,Black,Australian Cattle Dog X,BUDDY,Desexed Male,ELIZABETH DOWNS,1
157106,Black /Tan,Rottweiler X,REX,Desexed Male,CRAIGMORE,5
157107,Tan,Jack Russell Terrier X,ABBIE,Desexed Female,CRAIGMORE,11
157108,Black/White,Jack Russell Terrier X,CHLOE,Desexed Female,CRAIGMORE,11
157109,Black/Brown,Unknown,BLAZE,Male,ELIZABETH PARK,3
157110,Brindle/White,Staffordshire Bull Terrier,DOM,Desexed Male,ANDREWS FARM,13
157111,Tan,Staffordshire Bull Terrier X,RUSTY,Male,ELIZABETH PARK,13
157112,Black,Maltese X,RYLEIGH,Female,ELIZABETH PARK,11
157113,Black/White,Maltese X,ROHANN,Desexed Female,ELIZABETH PARK,3
157114,White,Japanese Spitz,RUSKI,Desexed Male,ELIZABETH PARK,6
157115,Blue/Roan,Australian Cattle Dog X,CHIANA,Female,ELIZABETH DOWNS,9
157116,Tan,Chihuahua,CRUZ,Desexed Male,ANDREWS FARM,8
157117,White,Staffordshire Bull Terrier X,RASCAL,Desexed Male,ELIZABETH DOWNS,9
157118,White,Chihuahua,MILO,Desexed Male,ANDREWS FARM,2
157119,Brown,Chihuahua,BEAR,Desexed Male,ANDREWS FARM,2
157120,Brindle/White,Staffordshire Bull Terrier,DILLY,Desexed Male,SMITHFIELD PLAINS,4
157121,Brindle,Staffordshire Bull Terrier,LEAH,Female,ELIZABETH PARK,7
157122,Tan,Mastiff X,YODD,Male,ELIZABETH PARK,12
