Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Age
20990,Red,Dobermann,AMY,Desexed Female,WATERLOO CORNER,6
21900,Black,German Shepherd Dog,DOMINO,Desexed Female,MACDONALD PARK,11
25702,Brown/Tan,Dobermann,RUFUS,Desexed Male,WATERLOO CORNER,12
25703,Grey/Tan,Dobermann,E T,Desexed Male,WATERLOO CORNER,13
26898,Blenheim,Spaniel,SAMO,Male,HILLIER,3
26899,Blenheim,Spaniel,ANDY,Male,HILLIER,5
26900,Tri-Colored,Spaniel,GIDGET,Female,HILLIER,11
26901,Blenheim,Spaniel,CORKY,Female,HILLIER,4
26938,Black,Rottweiler,SPYDA,Desexed Female,WATERLOO CORNER,8
27181,Blue,Australian Cattle Dog,TUPPY,Male,ANGLE VALE,7
32485,White,Australian Kelpie X,CHELSEA,Desexed Female,HILLBANK,9
59138,Blue/Roan,Australian Cattle Dog,DAPPLES,Desexed Male,ELIZABETH DOWNS,6
60736,Fawn,Greyhound,LADY,Desexed Female,ELIZABETH NORTH,8
60997,Black/White,Border Collie,RAEGAN,Female,ELIZABETH PARK,14
100268,Tan,Tenterfield Terrier,CONAN,Male,BLAKEVIEW,13
100270,Black,Terrier X,LADY,Desexed Female,WATERLOO CORNER,9
100568,White,Poodle X,CLOE,Desexed Female,HILLBANK,11
101440,Gold,Golden Retriever,GRACE,Female,CRAIGMORE,2
101811,Black/Grey,Australian Cattle Dog X,MAX,Male,ONE TREE HILL,9
101924,Black,Australian Kelpie X,SNOOP,Desexed Female,MUNNO PARA,1
102281,Sable/White,Collie (Rough),BRIDIE,Female,ANGLE VALE,4
102807,Apricot,Poodle (Toy),LEE-LA,Desexed Female,SMITHFIELD,2
102880,Black,Poodle (Miniature),EBONY,Female,ELIZABETH DOWNS,12
102891,Cream/Brown,Jack Russell Terrier,MAX,Male,HILLBANK,3
103228,White,Poodle,MARGIE,Desexed Female,ELIZABETH VALE,6
103776,Silver,Poodle,MONET,Female,ELIZABETH NORTH,2
103831,White/Black,Maltese X,ZORRO,Desexed Male,ONE TREE HILL,2
104014,Apricot,Poodle (Toy),BOBBY,Male,ELIZABETH VALE,14
104394,White,Maltese,SALLY,Female,ELIZABETH EAST,4
104550,Tri-Colored,Jack Russell Terrier,TYSON,Male,ANDREWS FARM,8
104785,White,Poodle,HONEY,Desexed Female,CRAIGMORE,12
104945,Black/Red,Chihuahua,RUSTY,Desexed Male,ELIZABETH DOWNS,9
105096,Blue,Australian Cattle Dog,DAYNA,Female,CRAIGMORE,5
105112,Brown/Tan,Papillon X,DANNY MORTON,Male,ELIZABETH PARK,9
105385,Tri-Colored,Maltese X,SCRUFFY,Male,ELIZABETH SOUTH,8
105497,White,Maltese,BONNIE,Female,DAVOREN PARK,7
105626,Black,Poodle (Toy),BUDDY,Desexed Male,CRAIGMORE,14
106230,Tan,Pomeranian X,OSCUR,Male,CRAIGMORE,5
106284,Russett Gold,Chihuahua X,RUSTY,Desexed Male,CRAIGMORE,11
106379,Black/White,Jack Russell Terrier X,JACK,Desexed Male,CRAIGMORE,8
106397,White/Tan,Shih Tzu,ZOE,Female,ELIZABETH NORTH,11
106482,White,West Highland White Terrier,LADY,Desexed Female,HILLBANK,6
106629,Black /Tan,Papillon,PEPE,Male,ELIZABETH PARK,13
106701,Black/White,Jack Russell Terrier,PLUTO,Male,ELIZABETH EAST,4
106902,Tri-Colored,Australian Cattle Dog,CHLOE,Female,ANGLE VALE,5
106964,Black /Tan,Australian Kelpie X,LUCKY,Desexed Male,BIBARINGA,12
107015,Brown,Staffordshire Bull Terrier X,SPROCKET,Male,ELIZABETH PARK,13
107082,Black/White,Bearded Collie,BUSTER,Male,ELIZABETH EAST,1
107309,White,Chihuahua,KOVU,Male,CRAIGMORE,14
107365,Chocolate Brown,Tenterfield Terrier,COCO,Female,DAVOREN PARK,8
107480,White,Staffordshire Bull Terrier X,COOPER,Male,ELIZABETH NORTH,2
107572,Black,Poodle,FIFI,Female,DAVOREN PARK,3
107687,Black/White,Chihuahua,CALVIN,Male,CRAIGMORE,10
107759,Black,Poodle,BUBBLES ANNE JONES,Desexed Female,DAVOREN PARK,13
107821,Tan/White,Fox Terrier (Smooth)  X,JESSE,Female,SMITHFIELD,5
107871,Black/White,Jack Russell Terrier,JACKIE,Desexed Female,MUNNO PARA WEST,1
107976,White/Tan,Jack Russell Terrier,BARNEY,Male,ELIZABETH PARK,1
108031,Tri-Colored,Siberian Husky,JENNA,Female,CRAIGMORE,7
108156,Tri-Colored,Border Collie X,BILLIE,Female,HILLBANK,1
108170,White/Black,Maltese X,MICKEY,Male,HILLBANK,4
108186,Tri-Colored,Chihuahua,TIGER,Female,DAVOREN PARK,14
108226,Tri-Colored,Fox Terrier (Smooth)  X,PENNY,Desexed Female,SMITHFIELD,13
108251,Black/White,Tenterfield Terrier,AUSSIE,Male,ELIZABETH EAST,12
108292,Brown,Chihuahua,SKYE,Female,ELIZABETH PARK,4
108308,Blue,X Breed,ZEDDICHUS,Desexed Male,YATTALUNGA,8
108311,Sandy,Chihuahua,TEDDY,Desexed Male,SMITHFIELD PLAINS,6
108350,Tan/White,Tenterfield Terrier,CUJO,Male,ELIZABETH VALE,11
108441,Fawn/White,Australian Cattle Dog X,BUSTER,Female,HILLBANK,8
108527,Black,Rottweiler,CASSIE,Desexed Female,MACDONALD PARK,10
108611,Black,Australian Silky Terrier,ROSEY,Desexed Female,CRAIGMORE,8
108698,Black/Grey,Australian Cattle Dog X,ANGUS,Male,DAVOREN PARK,1
108715,Black/White,Border Collie,MATILDA,Female,WATERLOO CORNER,7
108770,Black/White,Border Collie X,JESSIE,Desexed Female,ANDREWS FARM,14
108847,Tan,Australian Silky Terrier X,JAGGER,Male,MUNNO PARA WEST,14
108864,Brown,Fox Terrier (Smooth)  X,SAMMY,Desexed Male,ELIZABETH DOWNS,11
108887,Black,Chihuahua,HOLLY,Female,BLAKEVIEW,4
109035,Sable/White,Collie (Rough),CASSIE,Female,ANGLE VALE,11
109050,Blue,Australian Cattle Dog,DAMPER,Desexed Male,ELIZABETH DOWNS,9
109127,Tri-Colored,Chihuahua X,TAMMY,Desexed Female,DAVOREN PARK,5
109149,Gold,Golden Retriever,TAYLA,Female,CRAIGMORE,10
109186,Tan,Terrier X,SAMMY,Male,CRAIGMORE,3
109289,Tri-Colored,Fox Terrier (Smooth),ARMIST,Desexed Male,CRAIGMORE,7
109351,White,Jack Russell Terrier,SASHA,Female,ELIZABETH SOUTH,13
109454,Tan,Chihuahua X,DINGO,Male,ELIZABETH NORTH,12
109469,Tri-Colored,Maltese X,BUDDY,Desexed Male,MUNNO PARA WEST,5
109489,Grey,Maltese X,CHARLOTTE,Female,BLAKEVIEW,4
109588,Black,Chihuahua,MINNIE,Female,MUNNO PARA,13
109648,White,Jack Russell Terrier X,MAXWELL(MAX),Desexed Male,CRAIGMORE,5
109689,Black /Tan,Rottweiler X,ZAK,Male,ELIZABETH VALE,10
109776,Black,Australian Silky Terrier X,RUFUS-TEDDY,Desexed Male,ELIZABETH GROVE,14
109806,Tan,Pomeranian X,CHLOE,Female,ELIZABETH SOUTH,9
109861,White/Apricot,Maltese,BOBBY,Male,BLAKEVIEW,10
109911,Tri-Colored,Tenterfield Terrier,JACK,Male,YATTALUNGA,13
109958,Black /Tan,Terrier X,BANDIT,Male,SMITHFIELD PLAINS,7
109960,Apricot,Jack Russell Terrier X,MILO,Male,SMITHFIELD,13
109981,Black/White,Tenterfield Terrier,JODIE,Desexed Female,DAVOREN PARK,6
110018,Brown,Australian Kelpie,JAG,Male,CRAIGMORE,12
110041,Black,Poodle,SUKI,Desexed Male,HILLBANK,10
110049,Black/White,X Breed,CIDAR,Female,DAVOREN PARK,13
110112,Black /Tan,Chihuahua X,OSCAR,Male,ELIZABETH NORTH,7
110143,White,Shih Tzu X,DAISY,Female,BLAKEVIEW,4
110204,Tri-Colored,Shih Tzu X,COOPER,Desexed Male,ELIZABETH,14
110237,Black,Border Collie X,SKYE,Desexed Female,ELIZABETH SOUTH,13
110300,Black/White,Jack Russell Terrier,JACK,Male,ELIZABETH DOWNS,3
110358,White,Fox Terrier (Smooth)  X,MAX,Male,ANDREWS FARM,13
110440,Black /Tan,Corgi X,TAFFY,Male,CRAIGMORE,9
110515,Black/White,Australian Kelpie X,HARLEY,Female,ONE TREE HILL,7
110523,Red/Chocolate,Australian Kelpie,RUSTY,Desexed Male,DAVOREN PARK,9
110625,White,Poodle (Toy),ANDRE,Male,CRAIGMORE,4
110636,White,Labrador Retriever X,SNOWY,Female,ELIZABETH NORTH,12
110650,Apricot,Poodle (Toy),BELLA,Female,HILLBANK,5
110651,Black/White,Border Collie X,WESLEY,Male,HILLBANK,7
110663,Black/White,X Breed,HARRY,Male,ONE TREE HILL,4
110698,Black /Tan,Australian Silky Terrier,LUCY,Female,CRAIGMORE,3
110838,Tan/White,Shih Tzu X,MOLLY,Desexed Female,HILLBANK,4
110870,Tri-Colored,German Cooly,ZIGGY,Desexed Male,ELIZABETH VALE,8
110892,White,Jack Russell Terrier,GEM,Female,ANDREWS FARM,6
110914,Black/White,Australian Kelpie X,ROLY,Desexed Male,HILLBANK,3
110922,Black,Poodle X,MUFFY,Desexed Female,MUNNO PARA,13
110934,Black/White,Border Collie X,MISHA,Desexed Female,ANGLE VALE,2
110954,Blue/Roan,Corgi X,CASSIE,Desexed Female,ANDREWS FARM,2
110978,Black /Tan,Australian Terrier,POOCH,Female,MUNNO PARA WEST,7
110996,White/Brown,Fox Terrier (Smooth),TED,Male,HILLBANK,11
111042,Tan,Pomeranian X,BOOF,Desexed Male,CRAIGMORE,14
111063,Brown,Chihuahua,BROWNY,Desexed Female,MUNNO PARA WEST,14
111086,Brindle,Staffordshire Bull Terrier X,ZOE,Desexed Female,GOULD CREEK,10
111118,Black /Tan,Terrier X,BUSTER,Male,SMITHFIELD,6
111220,Red,Pomeranian X,CHLOE,Desexed Female,ELIZABETH VALE,11
111258,Fawn,Maltese X,MITSY,Female,CRAIGMORE,6
111320,White,Maltese X,JAZ,Male,ELIZABETH,5
111388,Brown/White,Australian Kelpie X,SARAH,Female,DAVOREN PARK,4
111403,Brown/Black,German Shepherd Dog X,TENY,Female,VIRGINIA,9
111413,Brown/White,Jack Russell Terrier,DOU DOU,Female,WATERLOO CORNER,4
111443,Tri-Colored,Shetland Sheepdog X,CEOADOG,Desexed Male,ANDREWS FARM,3
111477,Tan/Black,Australian Silky Terrier X,TEDDY,Desexed Male,BLAKEVIEW,11
111573,White/Tan,Shih Tzu,MILLY,Desexed Female,HILLBANK,2
111602,Black /Tan,Corgi X,HARLEY,Desexed Male,ELIZABETH VALE,12
111614,White,Maltese X,FRANK,Male,HILLBANK,3
111681,Black/White,Border Collie X,JAKE,Male,MUNNO PARA,11
111750,White/Tan,Jack Russell Terrier,FLASH,Male,ELIZABETH VALE,2
111751,Tri-Colored,Fox Terrier (Smooth)  X,MOLLY,Female,ELIZABETH VALE,14
111754,Tri-Colored,Staffordshire Bull Terrier X,JESSIE,Desexed Female,BLAKEVIEW,1
111776,Tan/White,Chihuahua,TOBY,Male,ELIZABETH PARK,8
111794,Brown/White,Terrier X,LEON,Male,ELIZABETH NORTH,3
111805,Tri-Colored,Shih Tzu X,WAGS,Male,ELIZABETH NORTH,4
111896,Brown/Silver,Australian Terrier X,TOBY,Male,ONE TREE HILL,12
111913,Brown,Australian Silky Terrier,CEDRICK,Male,ELIZABETH EAST,11
111922,Brown,Chihuahua X,SPOT,Male,ANDREWS FARM,10
111949,Black,Poodle (Miniature),PEPPA,Desexed Female,CRAIGMORE,14
111950,Brown,Poodle (Miniature),LAYLA,Female,ELIZABETH DOWNS,9
111964,White,Maltese X,TITI,Female,WATERLOO CORNER,11
112090,Black/Brown,X Breed,PADDY,Male,ELIZABETH DOWNS,2
112177,Black,Shetland Sheepdog,TILLIE,Female,ELIZABETH EAST,2
112242,Black/White,Fox Terrier (Smooth),BUSTER,Male,SMITHFIELD,8
112243,Red Roan,Whippet X,BUFFY,Desexed Female,MUNNO PARA WEST,2
112277,Brown/White,Maltese X,COOPER,Desexed Male,ELIZABETH GROVE,1
112305,Black /Tan,Rottweiler,ANNIE,Female,WATERLOO CORNER,3
112336,Grey,Australian Silky Terrier,MITZ,Desexed Female,ELIZABETH VALE,7
112344,Brown/White,English Springer Spaniel,LAIKA,Female,ELIZABETH GROVE,12
112350,Tan/White,Jack Russell Terrier,KELLY,Desexed Female,CRAIGMORE,9
112369,Brown/Cream,Fox Terrier (Smooth)  X,GOLDIE,Female,SMITHFIELD PLAINS,11
112392,Tan,Staffordshire Bull Terrier X,AMBER,Female,CRAIGMORE,1
112415,Blond,Labrador Retriever,CK,Desexed Male,SMITHFIELD PLAINS,3
112462,Tan,Fox Terrier (Smooth)  X,RUBY,Female,MACDONALD PARK,14
112505,Black,Terrier X,JAKE,Male,ELIZABETH NORTH,3
112523,Tan/White,Jack Russell Terrier X,CINDY,Female,SMITHFIELD PLAINS,13
112542,Brindle/White,Boxer X,SHEBA,Desexed Female,DAVOREN PARK,2
112573,Sable,Pomeranian X,AMBER,Female,HUMBUG SCRUB,14
112640,Tri-Colored,Jack Russell Terrier X,LILLY,Female,DAVOREN PARK,1
112655,Tri-Colored,Tenterfield Terrier X,MINTY,Female,ELIZABETH EAST,13
112698,White/Tan,Pekingese X,CHUNG LEE,Desexed Female,ELIZABETH NORTH,2
112704,Cream,Australian Silky Terrier X,BONNIE,Desexed Female,ELIZABETH DOWNS,1
112705,Grey,Australian Silky Terrier X,ABBEY,Desexed Female,ELIZABETH DOWNS,13
112745,Tan/White,Jack Russell Terrier,KASEY,Female,CRAIGMORE,9
112806,Black,Labrador Retriever,SALLY,Female,ELIZABETH VALE,3
112849,Black,Poodle X,CHLOE,Desexed Female,ELIZABETH VALE,3
112881,Brown/Red,Border Collie,RUBY,Female,ONE TREE HILL,6
112993,Brown,Staffordshire Bull Terrier X,BUNDY,Male,BLAKEVIEW,13
112998,Black/White,Chihuahua,BOOMER,Male,CRAIGMORE,12
113046,Beige,Australian Terrier X,CASSEY,Desexed Female,CRAIGMORE,6
113077,Brown/White,Australian Silky Terrier X,RINGO,Male,ELIZABETH GROVE,8
113079,Black,Poodle X,TIKE,Male,DAVOREN PARK,9
113124,Black,Staffordshire Bull Terrier,JUNIOR,Male,BLAKEVIEW,7
113149,Black/White,Border Collie,ANNIE,Desexed Female,ONE TREE HILL,10
113164,White/Brown,Jack Russell Terrier,SIMBA,Male,ANGLE VALE,2
113177,Tan,Dachshund X,CASSIE,Female,CRAIGMORE,8
113238,Sable/Cream,Chihuahua,SIMBA,Desexed Male,SMITHFIELD,11
113247,White,Bull Terrier,CASSIE,Desexed Female,SMITHFIELD,5
113266,White/Tan,Maltese X,TOBY,Desexed Male,CRAIGMORE,14
113287,Tri-Colored,Fox Terrier (Smooth)  X,ANGEL,Female,SMITHFIELD,9
113314,Tri-Colored,Australian Kelpie X,ZORRO,Desexed Male,ELIZABETH VALE,13
113349,Tan,Chihuahua,ROCKY,Desexed Male,BLAKEVIEW,11
113365,Black/White,Dalmation,PURDY,Female,BIBARINGA,9
113376,Tan/White,Fox Terrier (Smooth)  X,WHOOCHEE,Male,ELIZABETH DOWNS,1
113386,White,Maltese,SUZIE,Female,ELIZABETH EAST,11
113415,White,West Highland White Terrier X,ASTI,Desexed Female,HILLBANK,12
113452,White/Brindle,Staffordshire Bull Terrier,HAYLEY,Female,CRAIGMORE,13
113456,Tri-Colored,Australian Cattle Dog X,TARA,Desexed Female,ELIZABETH VALE,13
113519,Tri-Colored,Tenterfield Terrier,TESSA,Female,CRAIGMORE,12
113562,White,Maltese X,CINDY,Female,CRAIGMORE,14
113572,White,Chihuahua,MAX,Male,HILLBANK,11
113601,White/Tan,Maltese X,HOLLY,Desexed Female,ELIZABETH SOUTH,13
113622,Black,Staffordshire Bull Terrier X,STEELER,Male,ANDREWS FARM,14
113631,Tan,Jack Russell Terrier X,POLLY,Desexed Female,DAVOREN PARK,10
113649,Gold,Labrador Retriever,HOADLEY,Male,ULEYBURY,7
113667,Red/Brown,Staffordshire Bull Terrier X,MODRA,Male,ELIZABETH VALE,3
113680,Apricot,Maltese X,ROSIE,Desexed Female,ANGLE VALE,12
113702,Black /Tan,Australian Kelpie X,ROCKY,Male,CRAIGMORE,13
113718,Blue/White,Australian Cattle Dog,EMMA,Female,MACDONALD PARK,2
113739,White/Apricot,Maltese X,BILLY,Male,ELIZABETH EAST,10
113749,Brown/Black,Australian Terrier,SILKY,Female,DAVOREN PARK,4
113821,Brown,Australian Kelpie,GEOFF,Male,CRAIGMORE,9
113828,Off White,Golden Retriever,DIGGER,Male,DAVOREN PARK,4
113838,Brown/White,Jack Russell Terrier,BENNY,Male,SMITHFIELD,10
113840,White/Tan,Maltese X,BOSLEY,Male,CRAIGMORE,5
113851,Blond,Chihuahua X,CUJO,Desexed Male,ANDREWS FARM,5
113854,Black /Tan,Australian Kelpie X,OSCAR,Desexed Male,SMITHFIELD,4
113881,White,Poodle,PENNY,Female,ELIZABETH SOUTH,2
113925,Black/Brindle,Bull Terrier X,ROCKY,Male,DAVOREN PARK,9
113933,Brown/White,Maltese X,ROSIE,Desexed Female,ELIZABETH PARK,4
113973,Black/White,Fox Terrier (Smooth),MISTY,Female,CRAIGMORE,10
114001,Black /Tan,Terrier,CODIE,Male,CRAIGMORE,8
114033,Blue,Australian Cattle Dog,BLUE,Male,ELIZABETH SOUTH,14
114037,Tan/White,Jack Russell Terrier,CHAPPIE,Desexed Male,BLAKEVIEW,4
114053,Tan,Leonberger,CUJO,Male,CRAIGMORE,8
114089,Black/White,Jack Russell Terrier X,OSCAR,Desexed Male,MUNNO PARA WEST,11
114091,Brown/White,Maltese X,CHI,Male,CRAIGMORE,2
114130,Tan,Cocker Spaniel,CASPER,Desexed Male,DAVOREN PARK,7
114140,Tri-Colored,Beagle,SHANDI,Female,BLAKEVIEW,9
114141,Chocolate,Australian Kelpie,OAKIE,Desexed Female,HUMBUG SCRUB,14
114186,Black /Tan,Siberian Husky,LUNA,Desexed Female,CRAIGMORE,7
114192,Tan,Staffordshire Bull Terrier X,JESSICA,Female,HILLBANK,5
114197,White,Maltese X,TOTO,Male,ANGLE VALE,12
114205,Black/White,Australian Cattle Dog X,BECKY,Female,DAVOREN PARK,7
114236,Black,Bichon Frise x,CODIE,Desexed Male,HILLBANK,1
114239,Beige,German Shepherd Dog X,MAX,Male,ELIZABETH DOWNS,5
114270,Light Brown,Maltese,ANASTASIA,Desexed Female,ANDREWS FARM,9
114287,Tri-Colored,Tenterfield Terrier,CHELSEA,Female,ELIZABETH EAST,12
114292,Black,Labrador Retriever X,CASSIE,Female,GOULD CREEK,4
114320,Brown,Terrier,DD,Desexed Female,MACDONALD PARK,10
114347,Black/White,Border Collie X,PONDE,Male,SMITHFIELD PLAINS,7
114350,Black/White,Border Collie,TIPPER,Female,HUMBUG SCRUB,7
114427,Fawn,Weimaraner,TAHNEE,Desexed Female,EVANSTON PARK,5
114434,Red,Shar Pei,DINO,Male,ELIZABETH PARK,10
114457,Brown/White,Border Collie X,FLY,Female,BIBARINGA,3
114466,Black/White,Border Collie,Bonny,Female,MUNNO PARA,9
114468,White,Shih Tzu X,ANGEL,Female,DAVOREN PARK,1
114489,Black/White,Chihuahua,TOBY,Desexed Male,BLAKEVIEW,6
114494,Brown/White,Jack Russell Terrier,BOBI,Male,ELIZABETH,10
114496,Cream/Caramel,Staffordshire Bull Terrier X,BRANDY,Female,CRAIGMORE,10
114501,Sandy,Fox Terrier (Smooth),BELLE,Desexed Female,ELIZABETH EAST,9
114510,Black/White,Jack Russell Terrier,JED,Male,ELIZABETH PARK,5
114530,White,Maltese X,JACKEE,Desexed Female,ONE TREE HILL,3
114531,White,Jack Russell Terrier X,LUCY,Desexed Female,DAVOREN PARK,9
114535,Tan/Black,Jack Russell Terrier X,JAZZY,Desexed Female,HILLBANK,9
114536,Tan/Black,Jack Russell Terrier X,FOXY,Desexed Female,HILLBANK,11
114538,Black/White,Pointer,TOBY,Male,ELIZABETH EAST,5
114556,Tan/Cream,Pomeranian X,RANDY,Male,DAVOREN PARK,11
114575,White/Sable,Maltese X,MICKY,Male,HILLBANK,3
114586,Black /Tan,Collie (Rough Coat) X,GOLDIE,Desexed Female,ANGLE VALE,13
114603,White,Maltese,ALI,Desexed Female,CRAIGMORE,10
114605,Black,Australian Kelpie,NIG,Male,VIRGINIA,10
114608,White,Fox Terrier (Smooth),SATAN,Male,CRAIGMORE,4
114609,Brown/Beige,Maltese X,SUZI,Desexed Female,ELIZABETH NORTH,8
114616,Tri-Colored,Australian Shepherd,BRADMIN,Male,BLAKEVIEW,2
114623,Black,Poodle X,LUCKY,Male,ELIZABETH GROVE,4
114624,Black,Pomeranian,LADY,Female,ELIZABETH GROVE,13
114634,Tan,Skye Terrier,WELLINGTON,Male,CRAIGMORE,10
114672,Grey/White,Maltese X,OLLIE,Desexed Male,CRAIGMORE,2
114696,White,Tenterfield Terrier,TOBY,Desexed Male,ELIZABETH,2
114709,White/Cream,Chihuahua,NATASHA,Female,CRAIGMORE,6
114713,Black/White,Maltese X,NOODLES,Male,CRAIGMORE,9
114750,Black /Tan,Cavalier King Charles Spaniel,BUFFY,Female,CRAIGMORE,9
114798,Brown/White,Australian Kelpie X,SIGLEY,Desexed Male,BIBARINGA,10
114799,Black/White,Border Collie,LADY,Desexed Female,BIBARINGA,5
114802,White/Tan,Jack Russell Terrier,SCRAP,Male,ANDREWS FARM,11
114809,Brown/White,Jack Russell Terrier,HAYLEY,Desexed Female,ANGLE VALE,5
114822,Wheaten,Rhodesian Ridgeback,ABBI,Desexed Female,CRAIGMORE,5
114826,Black,Border Collie X,GYPSY,Female,ANDREWS FARM,3
114864,Black/White,Maltese X,PIPER,Female,CRAIGMORE,14
114865,Black/White,Border Collie,XAPHAN,Desexed Male,DAVOREN PARK,1
114871,Tan/Brindle,Chihuahua X,LUCY,Female,ELIZABETH PARK,12
114881,Apricot,Poodle,BEN,Male,ELIZABETH NORTH,5
114896,Black/White,Shih Tzu,SUKI,Female,CRAIGMORE,3
114902,Brown/White,Collie (Rough),BOOT BOOT,Female,ELIZABETH DOWNS,7
114910,Gold,Labrador Retriever,MOLLY,Desexed Female,ELIZABETH GROVE,14
114924,Black/Grey,Australian Cattle Dog X,HOLLY,Desexed Female,CRAIGMORE,13
114939,White,Tenterfield Terrier,EDDY,Male,ANDREWS FARM,11
114958,Black/White,Tenterfield Terrier,RAVEN,Desexed Female,MUNNO PARA,10
114968,Grey/Black,Poodle X,TOBY,Desexed Male,ELIZABETH SOUTH,2
115012,White/Tan,Tibetan Spaniel,BEN,Desexed Male,BLAKEVIEW,10
115032,Black,Staffordshire Bull Terrier,WHOMPIE,Male,ELIZABETH DOWNS,6
115044,Brown/Tan,Australian Silky Terrier,CILLA,Desexed Female,BLAKEVIEW,11
115100,Tan,Maltese X,OLLIE,Desexed Male,HILLBANK,14
115151,Brown,Australian Terrier,COCO,Male,ELIZABETH GROVE,13
115155,Black/White,Maltese X,JASPER,Male,BLAKEVIEW,13
115177,White,Australian Cattle Dog X,JESSI,Female,ELIZABETH EAST,3
115185,Brindle/White,Bull Terrier X,MISSIE,Desexed Female,SMITHFIELD PLAINS,12
115196,Black/White,Shih Tzu X,BJ,Male,ONE TREE HILL,8
115218,Brown/White,Jack Russell Terrier,REG,Male,ELIZABETH VALE,5
115273,Black,Australian Cattle Dog X,BOOF MATHEW,Male,DAVOREN PARK,13
115276,Black/White,Border Collie,ABBY,Desexed Female,ULEYBURY,13
115305,Black,Poodle X,PEBBLES,Desexed Female,ELIZABETH EAST,13
115327,Tan/White,Shih Tzu X,TOPSY,Desexed Female,MUNNO PARA,7
115329,Brown/White,Jack Russell Terrier,BUDDY,Male,CRAIGMORE,9
115342,White/Tan,Jack Russell Terrier,KIARA,Desexed Female,ELIZABETH DOWNS,3
115345,Tri-Colored,Australian Silky Terrier,JACK,Male,ANDREWS FARM,4
115358,Brown,Curly Coated Retriever,WINCHESTER,Desexed Male,ONE TREE HILL,13
115382,White/Brown,Jack Russell Terrier,ZACK,Male,SMITHFIELD PLAINS,7
115410,Black /Tan,Australian Kelpie X,BUDDY,Male,SMITHFIELD PLAINS,7
115447,Black /Tan,Australian Kelpie,ARIS,Male,VIRGINIA,12
115452,Black/White,Shih Tzu,MISTY,Female,SMITHFIELD PLAINS,7
115462,White/Brown,Fox Terrier (Smooth),FOXIE,Female,ELIZABETH EAST,5
115474,Brown/White,Chihuahua X,TIFFANY,Desexed Female,MUNNO PARA,3
115482,Black/Grey,Shih Tzu,MOLLY,Desexed Female,HILLBANK,10
115492,Apricot,Poodle,PERI,Female,ELIZABETH DOWNS,11
115582,White/Black,Fox Terrier (Smooth),SPOT,Male,ELIZABETH GROVE,2
115601,Brindle,Staffordshire Bull Terrier,TANTRA,Female,SMITHFIELD,9
115626,Black/White,Border Collie,CLEO,Female,BLAKEVIEW,7
115628,White,Tenterfield Terrier,CHIP,Desexed Male,ELIZABETH NORTH,12
115648,Apricot,Poodle (Toy),Brandy,Male,DAVOREN PARK,11
115649,White,Jack Russell Terrier,MILO,Male,VIRGINIA,3
115651,Sandy,Pomeranian X,TIA,Female,DAVOREN PARK,4
115665,White,Maltese X,POPPITS,Male,ELIZABETH NORTH,7
115734,Black/White,Australian Kelpie X,SOX,Desexed Female,ELIZABETH NORTH,2
115752,Black,Cocker Spaniel,BELLE,Desexed Female,CRAIGMORE,2
115775,Tri-Colored,Tenterfield Terrier,COZMO,Male,ANDREWS FARM,6
115818,White/Brown,Maltese X,SPIKER,Desexed Female,ANDREWS FARM,5
115846,Black,Labrador Retriever X,JAZZ,Desexed Male,SMITHFIELD,14
115867,Brindle,Staffordshire Bull Terrier,MAX,Male,ELIZABETH VALE,13
115899,White,Poodle,TIANA,Desexed Female,SMITHFIELD,9
115907,Tri-Colored,Jack Russell Terrier,LUCKY,Male,CRAIGMORE,12
115916,White,Maltese,ZUES,Male,HILLBANK,12
115925,White,Maltese,MISSY,Desexed Female,ELIZABETH DOWNS,7
115937,White/Black,Fox Terrier (Smooth)  X,LENNON,Desexed Male,DAVOREN PARK,5
115949,Black/White,Border Collie,PIPER,Female,BLAKEVIEW,6
115956,White,Maltese X,TOBY,Desexed Male,CRAIGMORE,10
116026,Yellow,Labrador Retriever,LEO,Male,HILLBANK,9
116029,Black,Poodle X,MURPHY,Desexed Male,DAVOREN PARK,4
116064,White/Cream,Maltese X,ABBY,Desexed Female,CRAIGMORE,3
116073,Black,Australian Kelpie,JESSIE,Female,BLAKEVIEW,2
116085,Brown,Chihuahua,TARA,Desexed Female,HILLBANK,2
116120,Tri-Colored,Collie (Rough),PRINCESS,Female,ELIZABETH EAST,10
116133,Tri-Colored,Beagle,TOM,Male,ELIZABETH PARK,6
116134,Red/White,Cocker Spaniel,JERRY,Male,ELIZABETH PARK,5
116158,Gold,Australian Cattle Dog X,BENNY,Male,ELIZABETH NORTH,5
116159,Tri-Colored,Jack Russell Terrier,JACK,Male,BLAKEVIEW,2
116220,Black,Pomeranian X,OLIVER,Male,ELIZABETH GROVE,6
116225,Tan,Chihuahua X,COZAK,Male,ELIZABETH PARK,14
116230,Tan,Pomeranian X,CHAZ,Male,DAVOREN PARK,9
116245,Cream,Maltese,ANDY PANDY,Desexed Male,ELIZABETH VALE,4
116282,Black/White,Border Collie X,BISCUIT,Male,ANDREWS FARM,10
116319,Tri-Colored,Australian Cattle Dog X,TESS,Female,ELIZABETH EAST,11
116374,Biscuit,Maltese X,HANNAH,Desexed Female,CRAIGMORE,7
116406,Tan/White,Chihuahua X,WEE TOOTSIE,Desexed Female,DAVOREN PARK,3
